Year,Men. Bachelor. Communication and Journalism ,Women. Bachelor. Communication and Journalism ,Men. Master. Communication and Journalism ,Women. Master. Communication and Journalism ,Men. Doctor. Communication and Journalism ,Women. Doctor. Communication and Journalism ,Men. Bachelor. Computer and Information Science,Women. Bachelor. Computer and Information Science,Men. Master. Computer and Information Science,Women. Master. Computer and Information Science,Men. Doctor. Computer and Information Science,Women. Doctor. Computer and Information Science,Men. Bachelor. Engineering,Women. Bachelor. Engineering,Men. Master. Engineering,Women. Master. Engineering,Men. Doctor. Engineering,Women. Doctor. Engineering,Men. Bachelor. Biological and Biomedical Sciences,Women. Bachelor. Biological and Biomedical Sciences,Men. Master. Biological and Biomedical Sciences,Women. Master. Biological and Biomedical Sciences,Men. Doctor. Biological and Biomedical Sciences,Women. Doctor. Biological and Biomedical Sciences,Men. Bachelor. Mathematics and Statistics,Women. Bachelor. Mathematics and Statistics,Men. Master. Mathematics and Statistics,Women. Master. Mathematics and Statistics,Men. Doctor. Mathematics and Statistics,Women. Doctor. Mathematics and Statistics,Men. Bachelor. Physical Sciences,Women. Bachelor. Physical Sciences,Men. Master. Physical Sciences,Women. Master. Physical Sciences,Men. Doctor. Physical Sciences,Women. Doctor. Physical Sciences,Men. Bachelor. Social Sciences,Women. Bachelor. Social Sciences,Men. Master. Social Sciences,Women. Master. Social Sciences,Men. Doctor. Social Sciences,Women. Doctor. Social Sciences,"Men. Bachelor. Business,  Management,  Marketing","Women. Bachelor. Business,  Management,  Marketing","Men. Master. Business,  Management,  Marketing","Women. Master. Business,  Management,  Marketing","Men. Doctor. Business,  Management,  Marketing","Women. Doctor. Business,  Management,  Marketing",Men. Doctor. Education,Women. Doctor. Education,Men. Master. Education,Women. Master. Education,Men. Bachelor. Education,Women. Bachelor. Education,Men. Doctor. English,Women. Doctor. English,Men. Master. English,Women. Master. English,Men. Bachelor. English,Women. Bachelor. English,Men. Doctor. Foreign Languages,Women. Doctor. Foreign Languages,Men. Master. Foreign Languages,Women. Master. Foreign Languages,Men. Bachelor. Foreign Languages,Women. Bachelor. Foreign Languages,Men. Doctor. Arts,Women. Doctor. Arts,Men. Master. Arts,Women. Master. Arts,Men. Bachelor. Arts,Women. Bachelor. Arts,Men. Doctor. Psychology,Women. Doctor. Psychology,Men. Master. Psychology,Women. Master. Psychology,Men. Bachelor. Psychology,Women. Bachelor. Psychology,Men. Doctor. Philosophy and Religion,Women. Doctor. Philosophy and Religion,Men. Master. Philosophy and Religion,Women. Master. Philosophy and Religion,Men. Bachelor. Philosophy and Religion,Women. Bachelor. Philosophy and Religion
2023,161,465,68,267,,,197,90,547,241,15,3,260,130,222,122,59,29,149,386,189,423,29,47,67,69,100,64,8,5,44,47,11,8,28,19,288,393,112,133,27,13,400,345,1217,940,1,4,13,25,96,317,7,39,3,2,12,29,10,41,3,2,14,15,11,24,12,16,57,144,51,110,4,12,13,71,44,228,5,5,2,1,26,22
2022,198,499,62,235,,,196,84,408,192,12,2,317,125,197,86,57,22,171,367,149,353,30,50,75,58,88,63,12,6,36,22,19,12,18,17,280,409,91,119,27,21,382,368,718,687,5,7,13,19,103,325,8,53,4,6,9,20,18,38,1,2,7,17,13,33,10,14,41,109,42,112,1,8,18,92,58,196,5,3,3,0,26,20
2021,175,511,61,236,,,149,54,455,165,5,3,265,152,196,107,37,21,145,353,128,296,30,42,51,50,85,68,9,8,38,20,12,9,18,12,283,395,89,127,19,18,357,366,575,560,4,4,17,11,116,411,13,71,2,1,13,17,17,45,3,3,4,9,12,26,9,23,36,82,53,122,7,10,15,70,45,193,7,3,3,0,15,21
2020,162,547,44,209,,,146,67,482,178,6,4,263,162,245,93,43,28,160,324,159,293,38,43,34,57,100,95,4,4,32,34,15,13,35,13,251,401,115,124,16,17,384,376,669,708,1,3,16,14,120,453,9,78,1,4,11,14,15,45,2,3,1,8,9,34,15,16,45,121,41,113,8,11,16,66,40,223,8,5,0,1,19,19
2019,164,567,59,206,,,133,64,458,143,7,3,241,148,228,99,43,16,116,306,173,315,46,24,28,54,86,80,6,4,37,28,15,10,22,9,261,378,109,125,23,19,391,471,533,481,2,0,12,14,105,474,10,114,4,5,14,23,10,39,1,4,3,6,11,17,8,23,34,116,48,112,2,12,10,73,33,204,9,5,9,1,11,22
2018,163,499,57,220,,,119,42,319,129,5,3,275,129,233,89,35,20,130,319,144,223,25,46,45,50,74,74,4,2,42,24,17,8,19,12,226,345,107,125,27,24,468,510,485,429,4,6,19,25,126,357,11,71,4,6,16,17,7,43,1,4,3,11,13,30,14,38,46,112,41,117,5,18,18,71,34,170,6,6,4,5,18,19
2017,110,483,78,214,,,105,40,319,117,10,1,267,115,210,78,39,16,113,230,143,242,40,47,34,43,57,64,4,1,29,26,17,15,23,13,199,344,85,150,20,15,462,553,473,340,2,4,18,28,113,296,6,71,2,5,10,20,19,41,2,3,2,3,5,25,14,27,41,99,45,105,6,8,10,56,40,148,8,3,10,4,16,19
2016,142,446,37,147,,,80,36,253,78,4,4,276,101,206,77,47,15,136,212,146,200,44,49,57,41,61,40,6,4,43,33,18,11,29,14,210,327,103,154,31,19,425,469,435,355,3,2,25,17,97,342,11,87,2,6,10,14,13,38,0,6,0,3,10,31,9,32,46,125,39,121,1,13,11,53,54,180,4,7,10,2,12,15
2015,167,472,40,171,,,74,18,256,86,2,0,212,87,169,65,39,9,136,221,175,225,35,39,20,23,35,30,4,3,35,31,23,6,17,10,226,368,84,135,30,32,423,445,441,291,5,2,19,30,114,304,18,80,3,6,10,10,21,50,0,2,0,5,17,28,14,28,53,140,47,139,4,11,24,56,37,204,12,5,13,3,20,12
2014,169,535,42,133,,,68,18,206,73,5,1,262,97,179,48,40,13,139,223,172,198,58,49,25,21,46,11,7,3,41,38,19,9,23,16,242,409,135,170,15,24,393,485,508,286,0,5,25,28,124,368,14,82,0,4,11,24,36,67,0,4,2,1,20,34,13,24,55,98,49,109,5,17,22,60,57,205,3,5,15,11,18,28
