,Undergraduate International,Undergraduate Unknown,Undergraduate Total,Undergraduate AIAN,Undergraduate Asian,Undergraduate Black,Undergraduate Hispanic,Undergraduate NHPI,Undergraduate White,Undergraduate Two,Graduate International,Graduate Unknown,Graduate Total,Graduate AIAN,Graduate Asian,Graduate Black,Graduate Hispanic,Graduate NHPI,Graduate White,Graduate Two
2023,4057,951,18656,11,3587,1088,2055,13,6069,825,6411,890,17968,7,1956,710,1378,9,6186,421
2022,4175,984,18459,6,3541,900,1930,14,6085,824,6377,864,18255,13,1877,738,1368,13,6569,436
2021,4063,1010,18229,5,3481,724,1907,15,6184,840,5539,887,17875,10,1801,776,1346,12,7095,409
2020,3578,879,16872,3,3123,696,1975,12,5855,751,4464,973,15846,9,1587,682,1131,7,6635,358
2019,3859,1169,17983,7,2962,713,2028,15,6491,739,4950,1033,15737,15,1450,619,1003,7,6321,339
2018,3922,1400,18515,9,2824,749,2030,23,6859,699,4675,1318,16142,13,1429,686,1057,13,6627,324
2017,3853,1180,18080,9,2566,721,1991,21,7087,652,4059,1565,15275,20,1310,643,972,13,6391,302
2016,3853,1167,17944,10,2457,676,1881,24,7258,618,3586,1529,14751,22,1226,665,931,13,6499,280
2015,3604,1250,17932,11,2313,676,1845,23,7604,606,3318,1494,14226,18,1174,627,841,10,6468,276
2014,3323,1381,18017,13,2293,610,1685,19,8067,626,3089,1691,14095,14,1155,580,734,15,6575,242
2013,2833,1779,18165,11,2265,581,1597,18,8440,641,3004,2068,14246,16,1182,472,657,10,6617,220
2012,2483,1935,18306,20,2327,598,1602,17,8727,597,2898,2123,14297,20,1200,445,621,15,6781,194
2011,2163,1879,18140,27,2410,583,1488,21,9060,509,2757,2153,14299,24,1182,484,616,20,6866,197
2010,1752,2031,18166,34,2503,602,1414,30,9389,411,2555,2044,14013,39,1158,520,603,28,6887,179
2009,1967,3421,18283,64,2385,592,1237,,8617,,2593,3941,13677,32,964,455,417,,5275,
2008,1781,3479,18534,52,2329,536,1198,,9159,,2314,3430,11002,29,577,294,274,,4084,
2007,1615,3269,18733,48,2289,525,1162,,9825,,2239,3639,11218,22,623,326,293,,4076,
2006,1452,3575,18521,62,2163,505,1085,,9679,,2164,3820,10970,19,600,313,252,,3802,
2005,1505,3447,18694,61,2233,480,985,,9983,,2110,3742,10217,11,555,247,209,,3343,
2004,1392,3275,17740,56,2160,428,860,,9569,,2203,3560,9811,11,509,225,212,,3091,
2003,1434,3133,17682,57,2036,413,807,,9802,,2249,3152,9379,18,530,237,184,,3009,
2002,1518,2752,17860,64,2038,405,807,,10276,,2259,2751,9127,13,552,232,204,,3116,
2001,1523,2416,17602,54,2007,443,829,,10330,,2133,2249,8175,11,464,188,167,,2963,
2000,1665,2051,17819,53,1961,485,831,,10773,,2071,2177,8491,15,492,190,154,,3392,
1999,1658,1615,18018,59,2010,537,909,,11230,,1918,2173,8518,8,483,191,171,,3574,
1998,1803,1697,18270,52,2115,566,949,,11088,,1818,2283,8862,9,468,184,178,,3922,
1997,2129,1873,18875,46,2114,595,905,,11213,,1855,2025,8348,16,430,167,141,,3714,
1996,2249,1665,18319,47,2092,569,904,,10793,,1654,2110,8185,21,362,149,147,,3742,
1995,2325,1842,18555,50,2127,571,903,,10737,,1689,2115,8354,17,351,146,137,,3899,
1994,2529,1834,18404,45,2048,593,861,,10494,,1614,2087,8413,14,339,139,163,,4057,
,,,,,,,,,,,,,,,,,,,,
